id,wkt,osm_id
FLD00068,"POLYGON((57.641003 -20.486866, 57.640971 -20.486900, 57.640990 -20.486937, 57.641293 -20.487086, 57.641476 -20.487150, 57.641506 -20.487150, 57.643957 -20.484319, 57.644617 -20.483625, 57.644692 -20.483477, 57.644725 -20.483301, 57.644628 -20.483163, 57.644534 -20.483042, 57.644148 -20.482751, 57.643834 -20.482555, 57.643778 -20.482572, 57.643692 -20.482680, 57.643724 -20.482763, 57.643705 -20.482856, 57.643657 -20.482909, 57.643590 -20.482914, 57.643542 -20.482939, 57.642166 -20.485055, 57.641003 -20.486866))",542310087
FLD00069,"POLYGON((57.641514 -20.483699, 57.641446 -20.483766, 57.640775 -20.484924, 57.640295 -20.485762, 57.640107 -20.486091, 57.640139 -20.486156, 57.640889 -20.486832, 57.640961 -20.486793, 57.642152 -20.484938, 57.642498 -20.484408, 57.642493 -20.484355, 57.642433 -20.484306, 57.641585 -20.483738, 57.641514 -20.483699))",542310088
FLD00070,"POLYGON((57.639309 -20.485336, 57.639325 -20.485409, 57.639417 -20.485509, 57.639667 -20.485748, 57.639923 -20.485974, 57.639995 -20.486026, 57.640051 -20.486030, 57.640260 -20.485729, 57.640571 -20.485168, 57.640692 -20.484929, 57.640826 -20.484710, 57.641109 -20.484242, 57.641405 -20.483731, 57.641423 -20.483634, 57.641400 -20.483601, 57.641278 -20.483522, 57.640782 -20.483199, 57.640748 -20.483175, 57.640695 -20.483224, 57.640234 -20.483916, 57.639868 -20.484461, 57.639309 -20.485336))",542310089
FLD00071,"POLYGON((57.638382 -20.484783, 57.639150 -20.485257, 57.639202 -20.485286, 57.640653 -20.483175, 57.640656 -20.483127, 57.640603 -20.483065, 57.640510 -20.483011, 57.640405 -20.482949, 57.640185 -20.482811, 57.639946 -20.482673, 57.639713 -20.482978, 57.639290 -20.483545, 57.638787 -20.484216, 57.638382 -20.484783))",542310090
FLD00072,"POLYGON((57.637626 -20.483879, 57.637610 -20.483834, 57.637638 -20.483780, 57.638321 -20.482870, 57.638869 -20.482146, 57.638912 -20.482088, 57.638965 -20.482071, 57.639001 -20.482072, 57.639788 -20.482575, 57.639800 -20.482600, 57.639775 -20.482680, 57.638747 -20.484074, 57.638283 -20.484698, 57.638248 -20.484700, 57.637957 -20.484346, 57.637729 -20.484035, 57.637626 -20.483879))",542310091
FLD00073,"POLYGON((57.637020 -20.483283, 57.637011 -20.483326, 57.637032 -20.483364, 57.637535 -20.483757, 57.637582 -20.483762, 57.638416 -20.482654, 57.638832 -20.482085, 57.638838 -20.482047, 57.638834 -20.481999, 57.638792 -20.481955, 57.637756 -20.481320, 57.637725 -20.481341, 57.637438 -20.482153, 57.637020 -20.483283))",542310092
FLD00074,"POLYGON((57.639009 -20.481952, 57.638995 -20.481976, 57.639024 -20.482018, 57.639868 -20.482542, 57.640943 -20.481120, 57.641062 -20.480903, 57.641128 -20.480758, 57.640282 -20.480288, 57.640137 -20.480458, 57.639620 -20.481121, 57.639363 -20.481482, 57.639009 -20.481952))",542310093
FLD00075,"POLYGON((57.639331 -20.479900, 57.638488 -20.481660, 57.638492 -20.481705, 57.638912 -20.481944, 57.638950 -20.481935, 57.640205 -20.480248, 57.639394 -20.479764, 57.639331 -20.479900))",542310094
FLD00076,"POLYGON((57.638467 -20.479170, 57.639333 -20.479720, 57.638460 -20.481594, 57.638424 -20.481622, 57.638361 -20.481619, 57.637813 -20.481282, 57.637768 -20.481245, 57.638062 -20.480375, 57.638467 -20.479170))",542310095
FLD00077,"POLYGON((57.637528 -20.478533, 57.637484 -20.478518, 57.637449 -20.478534, 57.637099 -20.479601, 57.636729 -20.480737, 57.636681 -20.480885, 57.636690 -20.480920, 57.636762 -20.480942, 57.637470 -20.481160, 57.637622 -20.481193, 57.637680 -20.481185, 57.637708 -20.481150, 57.638157 -20.479813, 57.638423 -20.479097, 57.638433 -20.479056, 57.638396 -20.479027, 57.637528 -20.478533))",542310096
